policy,sigma_km,maneuver,group,measurements,mean_nis,median_nis,p95_nis,fraction_above_chi2_p95,fraction_above_chi2_p99
advanced_greedy,0,nullburn,all,136430,0.0001135540834,1.122065669e-06,2.443244075e-05,0,0
advanced_greedy,0,nullburn,non_maneuvering,109563,0.0001269133721,1.114192514e-06,2.442996793e-05,0,0
advanced_greedy,0,nullburn,maneuvering_before_burn,11527,6.820176456e-05,1.270539315e-06,3.064470839e-05,0,0
advanced_greedy,0,nullburn,maneuvering_after_burn,15340,5.221721456e-05,1.074959016e-06,1.941705277e-05,0,0
advanced_greedy,0,zerodv,all,136430,0.0001135540834,1.122065669e-06,2.443244075e-05,0,0
advanced_greedy,0,zerodv,non_maneuvering,109563,0.0001269133721,1.114192514e-06,2.442996793e-05,0,0
advanced_greedy,0,zerodv,maneuvering_before_burn,1768,0.0003688274906,7.001018048e-06,0.0001079621841,0,0
advanced_greedy,0,zerodv,maneuvering_after_burn,25099,3.72559388e-05,1.063273203e-06,1.740314547e-05,0,0
advanced_greedy,0,random,all,136361,1.809555885,1.427507755e-06,0.4261804521,0.02183175541,0.01821635218
advanced_greedy,0,random,non_maneuvering,109722,0.0001254655872,1.109415962e-06,2.436078057e-05,0,0
advanced_greedy,0,random,maneuvering_before_burn,11527,6.820505537e-05,1.270148687e-06,3.064470839e-05,0,0
advanced_greedy,0,random,maneuvering_after_burn,15112,16.32730926,0.2775276899,109.1784882,0.196995765,0.164372684
advanced_greedy,10,nullburn,all,136443,2.893790552,2.251303673,7.716062212,0.04763161174,0.009681698585
advanced_greedy,10,nullburn,non_maneuvering,109733,2.897179557,2.255026102,7.728543377,0.0478707408,0.009650697602
advanced_greedy,10,nullburn,maneuvering_before_burn,11552,2.785729147,2.148115993,7.476152372,0.04293628809,0.008656509695
advanced_greedy,10,nullburn,maneuvering_after_burn,15158,2.951610817,2.302360773,7.780701256,0.04947882306,0.01068742578
advanced_greedy,10,zerodv,all,136443,2.893790552,2.251303673,7.716062212,0.04763161174,0.009681698585
advanced_greedy,10,zerodv,non_maneuvering,109733,2.897179557,2.255026102,7.728543377,0.0478707408,0.009650697602
advanced_greedy,10,zerodv,maneuvering_before_burn,1767,2.039986616,1.348779678,6.368620348,0.0220713073,0.003395585739
