comparison,policy,held_fixed,contrast,metric,mean_paired_change,ci_low,ci_high
maneuver_effect,advanced_greedy,0.0|random,random_minus_control,final_mean_covariance,3.171798014e-06,-2.245501593e-06,1.019925995e-05
maneuver_effect,advanced_greedy,0.0|random,random_minus_control,final_tagged_covariance,1.531695126e-05,5.726733561e-07,3.50795013e-05
maneuver_effect,advanced_greedy,0.0|random,random_minus_control,final_tagged_error_median_km,25.33479119,22.92705036,27.83495911
maneuver_effect,advanced_greedy,0.0|random,random_minus_control,reacquired_fraction,-0.002,-0.0045,0
maneuver_effect,advanced_greedy,0.0|random,random_minus_control,mean_reward_per_agent,3.789037591e-08,-1.784524051e-08,1.018226464e-07
maneuver_effect,advanced_greedy,10.0|random,random_minus_control,final_mean_covariance,1.509666001e-06,-4.563890775e-06,8.860488437e-06
maneuver_effect,advanced_greedy,10.0|random,random_minus_control,final_tagged_covariance,1.179227008e-05,-1.980381751e-06,3.128863423e-05
maneuver_effect,advanced_greedy,10.0|random,random_minus_control,final_tagged_error_median_km,23.46460523,21.23727773,25.81791995
maneuver_effect,advanced_greedy,10.0|random,random_minus_control,reacquired_fraction,-0.0015,-0.004,0
maneuver_effect,advanced_greedy,10.0|random,random_minus_control,mean_reward_per_agent,6.279849244e-08,1.276458154e-09,1.334713222e-07
maneuver_effect,advanced_greedy,10.0|radial,radial_minus_control,final_mean_covariance,-1.86641168e-06,-1.004173366e-05,5.87570082e-06
maneuver_effect,advanced_greedy,10.0|radial,radial_minus_control,final_tagged_covariance,-1.306472286e-06,-3.132947846e-05,2.289226046e-05
maneuver_effect,advanced_greedy,10.0|radial,radial_minus_control,final_tagged_error_median_km,21.35378438,19.23139033,23.63298973
maneuver_effect,advanced_greedy,10.0|radial,radial_minus_control,reacquired_fraction,-0.0005,-0.0035,0.0025
maneuver_effect,advanced_greedy,10.0|radial,radial_minus_control,mean_reward_per_agent,5.694897974e-08,8.288806436e-09,1.159327528e-07
maneuver_effect,advanced_greedy,10.0|transverse,transverse_minus_control,final_mean_covariance,-2.079081604e-06,-1.236993436e-05,7.056242007e-06
maneuver_effect,advanced_greedy,10.0|transverse,transverse_minus_control,final_tagged_covariance,-4.227815311e-06,-3.819577002e-05,2.544150809e-05
maneuver_effect,advanced_greedy,10.0|transverse,transverse_minus_control,final_tagged_error_median_km,19.94772369,17.94254993,22.15760284
maneuver_effect,advanced_greedy,10.0|transverse,transverse_minus_control,reacquired_fraction,0,-0.0025,0.003
maneuver_effect,advanced_greedy,10.0|transverse,transverse_minus_control,mean_reward_per_agent,1.088583291e-07,2.587390277e-08,2.08358618e-07
maneuver_effect,advanced_greedy,10.0|normal,normal_minus_control,final_mean_covariance,1.037356133e-05,3.70866412e-07,2.236415661e-05
maneuver_effect,advanced_greedy,10.0|normal,normal_minus_control,final_tagged_covariance,4.224392904e-05,9.587800964e-06,8.431391529e-05
maneuver_effect,advanced_greedy,10.0|normal,normal_minus_control,final_tagged_error_median_km,26.1851045,23.79540136,28.71873996
maneuver_effect,advanced_greedy,10.0|normal,normal_minus_control,reacquired_fraction,-0.004,-0.0075,-0.001
maneuver_effect,advanced_greedy,10.0|normal,normal_minus_control,mean_reward_per_agent,2.033791782e-08,-3.006403662e-08,7.568980483e-08
maneuver_effect,advanced_greedy,10.0|finite1800s,finite1800s_minus_control,final_mean_covariance,1.405823984e-06,-4.588544761e-06,8.650721306e-06
maneuver_effect,advanced_greedy,10.0|finite1800s,finite1800s_minus_control,final_tagged_covariance,1.226432625e-05,-1.138594225e-06,3.144084097e-05
maneuver_effect,advanced_greedy,10.0|finite1800s,finite1800s_minus_control,final_tagged_error_median_km,14.57812821,13.29599895,15.92968097
maneuver_effect,advanced_greedy,10.0|finite1800s,finite1800s_minus_control,reacquired_fraction,-0.0015,-0.004,0
maneuver_effect,advanced_greedy,10.0|finite1800s,finite1800s_minus_control,mean_reward_per_agent,3.240762055e-08,-1.620831134e-08,8.199880314e-08
maneuver_effect,advanced_greedy,10.0|stress100to2000,stress100to2000_minus_control,final_mean_covariance,0.0003926755234,0.0002873105378,0.000501374688
maneuver_effect,advanced_greedy,10.0|stress100to2000,stress100to2000_minus_control,final_tagged_covariance,0.000728796682,0.0005640098708,0.0008997694071
