Policy,Condition,Episodes,Tagged cov.,Cov. change %,Median error (km),Error change %,Reacquired,Post-burn NIS
Advanced greedy,No maneuver (control),100,0.01145867405,0.0,5.348872104,0.0,0.2975,2.951610817
Advanced greedy,"Isotropic, 1-100 m/s",100,0.01147046632,0.10291129626818887,28.81347733,438.68323582559907,0.296,19.41031623
Advanced greedy,"Radial, 1-100 m/s",100,0.01145736758,-0.011401580970867386,26.70265648,399.220320860377,0.297,6.48331672
Advanced greedy,"In-track, 1-100 m/s",100,0.01145444624,-0.03689615379188114,25.29659579,372.93327075595386,0.2975,4.934030176
Advanced greedy,"Cross-track, 1-100 m/s",100,0.01150091798,0.36866333587699407,31.5339766,489.5444121092038,0.2935,41.4167033
Advanced greedy,"Finite 1800 s, 1-100 m/s",100,0.01147093838,0.10703097013219398,19.92700031,272.5458362539304,0.296,10.27656331
Advanced greedy,"Isotropic, 100-2000 m/s",100,0.01218747073,6.360218266266166,1071.839315,19938.604291892785,0.2335,1723.221906
Frozen CNNv2 PPO,No maneuver (control),100,0.01032754667,0.0,4.401310288,0.0,0.7055,2.794258597
Frozen CNNv2 PPO,"Isotropic, 1-100 m/s",100,0.010331917,0.042317213755080685,24.65126332,460.08919405684037,0.705,26.37145585
Frozen CNNv2 PPO,"Radial, 1-100 m/s",100,0.01032798945,0.004287368667007499,23.50718978,434.095263496678,0.705,19.94494594
Frozen CNNv2 PPO,"In-track, 1-100 m/s",100,0.01033305815,0.0533667886102085,21.05592461,378.40127671543974,0.705,14.64175683
Frozen CNNv2 PPO,"Cross-track, 1-100 m/s",100,0.0103329091,0.0519235610484146,29.50065483,570.2698264749108,0.705,44.91881705
Frozen CNNv2 PPO,"Finite 1800 s, 1-100 m/s",100,0.01033035904,0.027231733633024873,16.39533144,272.5102382511232,0.7055,14.0473575
Frozen CNNv2 PPO,"Isotropic, 100-2000 m/s",100,0.01091761289,5.7135178262041135,1002.277009,22672.241523908662,0.646,4137.298238
