policy,condition,episodes,mean_final_covariance,mean_final_median_covariance,mean_final_p90_covariance,mean_reward_per_agent
Frozen CNNv2 PPO,Coast,100,0.01059361342164449,0.007746950002259397,0.02456456807896653,0.01370649776870191
Frozen CNNv2 PPO,5% / 10 m/s,100,0.010593999331573576,0.00775100023000051,0.024564634882388515,0.013706997159009164
Frozen CNNv2 PPO,10% / 10 m/s,100,0.010593935822767249,0.00775106642777611,0.024564634882388515,0.013707607235855446
Frozen CNNv2 PPO,20% / 10 m/s,100,0.010594441645596682,0.007751149727991552,0.02456464117810496,0.013706841418482423
Frozen CNNv2 PPO,20% / 100 m/s stress,100,0.01061538419324074,0.007771371380940135,0.024579374138584856,0.013690252045449292
Advanced Greedy,Coast,100,0.011727941704230103,0.009703728406187283,0.023539148773789202,0.011903605293075246
Advanced Greedy,5% / 10 m/s,100,0.011728413985506893,0.009703812270052955,0.02353882145512821,0.011921143635396097
Advanced Greedy,10% / 10 m/s,100,0.01172886056630835,0.009705438598764236,0.0235391301390754,0.011919984724461841
Advanced Greedy,20% / 10 m/s,100,0.011727816135968752,0.009702811942116907,0.02354065641804694,0.011925442888845512
Advanced Greedy,20% / 100 m/s stress,100,0.011804154682480852,0.009784002736558982,0.023575817493882205,0.01189330534020955
