policy,condition,metric,mean_paired_change,ci_low,ci_high
Frozen CNNv2 PPO,5% / 10 m/s,final_mean_covariance,3.859099290867522e-07,2.043861669494833e-07,6.111441828267758e-07
Frozen CNNv2 PPO,5% / 10 m/s,final_median_covariance,4.050227741112999e-06,2.72930282553411e-09,1.0558663150590677e-05
Frozen CNNv2 PPO,5% / 10 m/s,final_p90_covariance,6.680342198212702e-08,0.0,2.0041026594638106e-07
Frozen CNNv2 PPO,5% / 10 m/s,maneuvering_subset_mean_covariance,3.7726245974821196e-06,-4.721354714651915e-06,1.0210698136549194e-05
Frozen CNNv2 PPO,10% / 10 m/s,final_mean_covariance,3.224011227583208e-07,-5.171942657745863e-07,8.903828956631086e-07
Frozen CNNv2 PPO,10% / 10 m/s,final_median_covariance,4.116425516712766e-06,9.02059752686133e-09,1.0623120168354335e-05
Frozen CNNv2 PPO,10% / 10 m/s,final_p90_covariance,6.680342198212702e-08,0.0,2.0041026594638106e-07
Frozen CNNv2 PPO,10% / 10 m/s,maneuvering_subset_mean_covariance,2.1028691681639654e-06,-6.28280607408676e-06,7.670856170489976e-06
Frozen CNNv2 PPO,20% / 10 m/s,final_mean_covariance,8.28223952191627e-07,-1.0600164743758915e-08,1.4517143919104516e-06
Frozen CNNv2 PPO,20% / 10 m/s,final_median_covariance,4.199725732155022e-06,6.90459864883281e-08,1.0736192914231426e-05
Frozen CNNv2 PPO,20% / 10 m/s,final_p90_covariance,7.309913843046856e-08,0.0,2.1315909175427037e-07
Frozen CNNv2 PPO,20% / 10 m/s,maneuvering_subset_mean_covariance,3.3304668586853547e-06,-8.545495595778956e-07,6.278708395553054e-06
Frozen CNNv2 PPO,20% / 100 m/s stress,final_mean_covariance,2.1770771596250834e-05,1.3012967201812722e-05,3.408468241260121e-05
Frozen CNNv2 PPO,20% / 100 m/s stress,final_median_covariance,2.4421378680738424e-05,1.0417535091448386e-05,4.000270947228569e-05
Frozen CNNv2 PPO,20% / 100 m/s stress,final_p90_covariance,1.4806059618326823e-05,8.118648653143712e-07,3.7869527962046626e-05
Frozen CNNv2 PPO,20% / 100 m/s stress,maneuvering_subset_mean_covariance,9.399076036920171e-05,6.208126900760256e-05,0.0001336813379812166
Advanced Greedy,5% / 10 m/s,final_mean_covariance,4.7228127679217747e-07,-5.163033385228893e-06,5.324765904673102e-06
Advanced Greedy,5% / 10 m/s,final_median_covariance,8.386386567148934e-08,-4.588207459077748e-06,4.814235088887143e-06
Advanced Greedy,5% / 10 m/s,final_p90_covariance,-3.273186609923512e-07,-1.7987765326204097e-06,6.683207100323973e-07
Advanced Greedy,5% / 10 m/s,maneuvering_subset_mean_covariance,5.725253555938777e-07,-3.7499017795416522e-06,3.6470977779225613e-06
Advanced Greedy,10% / 10 m/s,final_mean_covariance,9.188620782473942e-07,-5.675068856323756e-06,6.880466155619017e-06
Advanced Greedy,10% / 10 m/s,final_median_covariance,1.710192576951635e-06,-3.458493222606961e-06,7.755264709810408e-06
Advanced Greedy,10% / 10 m/s,final_p90_covariance,-1.8634713802815477e-08,-1.996238945807377e-06,1.9915408149548958e-06
Advanced Greedy,10% / 10 m/s,maneuvering_subset_mean_covariance,-1.101216747350263e-05,-4.1930815691895356e-05,7.04014120477902e-06
Advanced Greedy,20% / 10 m/s,final_mean_covariance,-1.2556826135004528e-07,-7.709959855497312e-06,7.1378135245315505e-06
Advanced Greedy,20% / 10 m/s,final_median_covariance,-9.164640703765784e-07,-1.2781323105824583e-05,9.181934637035215e-06
Advanced Greedy,20% / 10 m/s,final_p90_covariance,1.5076442577369696e-06,-6.123701129376988e-07,3.948115218044397e-06
Advanced Greedy,20% / 10 m/s,maneuvering_subset_mean_covariance,-9.186468737048131e-06,-2.8291182583504618e-05,4.776307038780646e-06
Advanced Greedy,20% / 100 m/s stress,final_mean_covariance,7.621297825074901e-05,3.163110447115865e-05,0.00013075876091907373
Advanced Greedy,20% / 100 m/s stress,final_median_covariance,8.027433037169767e-05,3.0338036905874248e-05,0.00013411501279061118
Advanced Greedy,20% / 100 m/s stress,final_p90_covariance,3.666872009300296e-05,-6.209261860110571e-05,0.00016396692598900263
Advanced Greedy,20% / 100 m/s stress,maneuvering_subset_mean_covariance,0.00013173166780278727,5.700454701659844e-05,0.00021328088571544062
