policy,condition,time_seconds,azimuth_deg
advanced_greedy,nullburn,68.15,120.0
advanced_greedy,nullburn,109.0,152.0
advanced_greedy,nullburn,209.0,236.0
advanced_greedy,nullburn,222.55,240.0
advanced_greedy,nullburn,281.6,288.0
advanced_greedy,nullburn,367.95000000000005,216.0
advanced_greedy,nullburn,381.50000000000006,208.0
advanced_greedy,nullburn,404.15000000000003,192.0
advanced_greedy,nullburn,426.8,208.0
advanced_greedy,nullburn,485.85,160.0
advanced_greedy,nullburn,581.3000000000001,80.0
advanced_greedy,nullburn,622.1500000000001,112.0
advanced_greedy,nullburn,667.5500000000001,124.0
advanced_greedy,nullburn,690.2,120.0
advanced_greedy,nullburn,699.2,120.0
advanced_greedy,nullburn,708.2,124.0
advanced_greedy,nullburn,717.2,124.0
advanced_greedy,nullburn,726.2,124.0
advanced_greedy,nullburn,735.2,124.0
advanced_greedy,nullburn,744.2,124.0
advanced_greedy,nullburn,753.2,124.0
advanced_greedy,nullburn,762.2,124.0
advanced_greedy,nullburn,771.2,124.0
advanced_greedy,nullburn,780.2,124.0
advanced_greedy,nullburn,789.2,124.0
advanced_greedy,nullburn,798.2,124.0
advanced_greedy,nullburn,807.2,124.0
advanced_greedy,nullburn,816.2,124.0
advanced_greedy,nullburn,825.2,124.0
advanced_greedy,nullburn,834.2,124.0
advanced_greedy,nullburn,843.2,124.0
advanced_greedy,nullburn,852.2,124.0
advanced_greedy,nullburn,861.2,124.0
advanced_greedy,nullburn,870.2,124.0
advanced_greedy,nullburn,879.2,124.0
advanced_greedy,nullburn,888.2,124.0
advanced_greedy,nullburn,897.2,124.0
advanced_greedy,nullburn,906.2,124.0
advanced_greedy,nullburn,915.2,124.0
advanced_greedy,nullburn,924.2,124.0
advanced_greedy,nullburn,933.2,124.0
advanced_greedy,nullburn,942.2,124.0
advanced_greedy,nullburn,951.2,124.0
advanced_greedy,nullburn,960.2,124.0
advanced_greedy,nullburn,969.2,124.0
advanced_greedy,nullburn,978.2,124.0
advanced_greedy,nullburn,987.2,124.0
advanced_greedy,nullburn,996.2,124.0
advanced_greedy,nullburn,1005.2,124.0
advanced_greedy,nullburn,1014.2,124.0
advanced_greedy,nullburn,1023.2,124.0
advanced_greedy,nullburn,1032.2,124.0
