comparison,policy,held_fixed,contrast,metric,mean_paired_change,ci_low,ci_high
maneuver_effect,advanced_greedy,0,random_minus_zerodv,final_mean_covariance,-2.158196694e-07,-6.322618664e-07,0
maneuver_effect,advanced_greedy,0,random_minus_zerodv,final_tagged_covariance,-1.260535322e-06,-3.705620256e-06,0
maneuver_effect,advanced_greedy,0,random_minus_zerodv,final_tagged_error_median_km,25.1455582,19.08521707,31.21454772
maneuver_effect,advanced_greedy,0,random_minus_zerodv,mean_reward_per_agent,2.478737994e-09,0,7.270789094e-09
maneuver_effect,advanced_greedy,10,random_minus_zerodv,final_mean_covariance,-2.45006215e-07,-7.475515486e-07,1.253290346e-08
maneuver_effect,advanced_greedy,10,random_minus_zerodv,final_tagged_covariance,-8.824934241e-07,-2.710144789e-06,6.266451727e-08
maneuver_effect,advanced_greedy,10,random_minus_zerodv,final_tagged_error_median_km,22.31782333,14.56873894,34.65351963
maneuver_effect,advanced_greedy,10,random_minus_zerodv,mean_reward_per_agent,2.626653316e-09,-1.040624096e-10,7.984022357e-09
noise_effect,advanced_greedy,zerodv,sigma10_minus_sigma00,final_mean_covariance,3.99474883e-07,-5.244092101e-08,7.939235968e-07
noise_effect,advanced_greedy,zerodv,sigma10_minus_sigma00,final_tagged_covariance,1.725212175e-07,-4.787289004e-09,5.153260866e-07
noise_effect,advanced_greedy,zerodv,sigma10_minus_sigma00,final_tagged_error_median_km,7.392609519,3.333188847,11.14611277
noise_effect,advanced_greedy,zerodv,sigma10_minus_sigma00,mean_reward_per_agent,-5.168230648e-09,-9.470256468e-09,-2.23448617e-09
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,final_mean_covariance,3.702883374e-07,-5.244092101e-08,6.786339147e-07
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,final_tagged_covariance,5.505631154e-07,1.338629379e-07,1.002500322e-06
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,final_tagged_error_median_km,4.564874649,0.5779418945,11.13749886
noise_effect,advanced_greedy,random,sigma10_minus_sigma00,mean_reward_per_agent,-5.020315325e-09,-9.470256468e-09,-2.503973467e-09
maneuver_effect,frozen_cnnv2_ppo,0,random_minus_zerodv,final_mean_covariance,2.756476862e-07,9.730597375e-09,7.074049828e-07
maneuver_effect,frozen_cnnv2_ppo,0,random_minus_zerodv,final_tagged_covariance,1.378238431e-06,4.865298688e-08,3.537024914e-06
maneuver_effect,frozen_cnnv2_ppo,0,random_minus_zerodv,final_tagged_error_median_km,20.47787101,17.02158813,24.9946708
maneuver_effect,frozen_cnnv2_ppo,0,random_minus_zerodv,mean_reward_per_agent,-1.544049689e-09,-3.303830477e-09,-1.996296197e-10
maneuver_effect,frozen_cnnv2_ppo,10,random_minus_zerodv,final_mean_covariance,2.297250691e-07,-5.430635287e-08,6.833413892e-07
maneuver_effect,frozen_cnnv2_ppo,10,random_minus_zerodv,final_tagged_covariance,1.148625345e-06,-2.715317643e-07,3.416706946e-06
maneuver_effect,frozen_cnnv2_ppo,10,random_minus_zerodv,final_tagged_error_median_km,18.16693054,13.09631811,24.1297815
maneuver_effect,frozen_cnnv2_ppo,10,random_minus_zerodv,mean_reward_per_agent,-1.517255988e-09,-3.492486336e-09,2.455624739e-10
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,final_mean_covariance,-4.873318704e-08,-4.702288184e-07,3.44185636e-07
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,final_tagged_covariance,6.878274797e-07,1.549849209e-07,1.216068527e-06
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,final_tagged_error_median_km,5.218404585,4.620379029,5.810858747
noise_effect,frozen_cnnv2_ppo,zerodv,sigma10_minus_sigma00,mean_reward_per_agent,-4.332172209e-12,-3.402407605e-09,3.501006279e-09
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,final_mean_covariance,-1.341570999e-07,-5.983534611e-07,3.404285451e-07
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,final_tagged_covariance,5.181632454e-07,-3.321914789e-08,1.254899228e-06
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,final_tagged_error_median_km,2.766827447,0.9186737401,4.602196285
noise_effect,frozen_cnnv2_ppo,random,sigma10_minus_sigma00,mean_reward_per_agent,4.862368787e-10,-3.191200734e-09,4.045299236e-09
